# -------------------------- o --------------------------
# File ID: /datag/public/A_Sign_in_Space_raw_h5/blc33_guppi_60067_72149_EXOMARS16TGO_DIAG_0010.rawspec.0002.h5
# -------------------------- o --------------------------
# Source:EXOMARS16TGO_DIAG
# MJD: 60067.83505787037	RA: 07h28m43.872ss	DEC:+23d37m05.16s
# DELTAT: 1.073742	DELTAF(Hz):  -2861.022949	max_drift_rate: 58.4432532	obs_length: 2399.812977
# --------------------------
# Top_Hit_#	Drift_Rate	SNR	Uncorrected_Frequency	Corrected_Frequency	Index	freq_start	freq_end	SEFD_freq	Coarse_Channel_Number	Full_number_of_hits
# --------------------------
000001	-57.250534	2206.006836	8410.214393	8410.214393	810	8410.283089	8410.145698	0.000000	0.000000	9	3
000002	-46.516059	1304.029907	8410.968279	8410.968279	547	8411.024094	8410.912464	0.000000	0.000000	9	20
000003	-35.781584	1080.000122	8410.972576	8410.972576	553	8411.015511	8410.929641	0.000000	0.000000	9	26
000004	-54.865095	17.106745	8410.640687	8410.640687	661	8410.706520	8410.574854	0.000000	0.000000	9	4
000005	-42.937900	9842.241211	8409.896828	8409.896828	915	8409.948349	8409.845306	0.000000	0.000000	9	40
000006	-58.443253	351.183075	8411.503284	8411.503284	353	8411.573410	8411.433157	0.000000	0.000000	9	13
000007	-44.130620	84.326950	8412.035442	8412.035442	180	8412.088394	8411.982489	0.000000	0.000000	9	13
000008	-51.286937	153.011185	8410.587760	8410.587760	681	8410.649300	8410.526221	0.000000	0.000000	9	9
000009	-51.286937	587.366333	8410.530540	8410.530540	700	8410.592079	8410.469000	0.000000	0.000000	9	9
000010	-40.552461	1206.935181	8410.972573	8410.972573	550	8411.021233	8410.923914	0.000000	0.000000	9	23
000011	-47.708778	93.610542	8412.031148	8412.031148	178	8412.088394	8411.973902	0.000000	0.000000	9	12
000012	-58.443253	10299.565430	8409.906833	8409.906833	907	8409.976959	8409.836706	0.000000	0.000000	9	20
000013	-54.865095	361.537628	8411.504716	8411.504716	355	8411.570549	8411.438883	0.000000	0.000000	9	14
000014	-52.479656	3066.064209	8410.214396	8410.214396	814	8410.277367	8410.151425	0.000000	0.000000	9	7
