Unnamed: 0,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
7618,7619,-0.265311,3.404801,8414.470425,378272,8414.470464,8414.470387,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7619,7620,-0.265311,3.271367,8414.470372,378291,8414.470411,8414.470333,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7643,7644,-0.295923,3.727762,8414.470812,378132,8414.470855,8414.470769,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7686,7687,-0.255106,3.172998,8414.461936,381311,8414.461973,8414.461899,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7697,7698,-0.214289,3.367433,8414.467683,379256,8414.467715,8414.467652,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7710,7711,-0.234698,3.577583,8414.475604,376420,8414.475638,8414.47557,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7742,7743,-0.387762,3.67679,8414.463484,380750,8414.463541,8414.463427,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7785,7786,-0.33674,3.07875,8414.463838,380626,8414.463887,8414.463789,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7795,7796,-0.316332,3.108258,8414.469602,378565,8414.469648,8414.469556,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7797,7798,-0.285719,13711.767578,8414.468933,378798,8414.468975,8414.468891,0,102,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7849,7850,-0.224494,3.23192,8414.473904,377029,8414.473937,8414.473871,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7890,7891,-0.204085,3.552514,8414.466696,379610,8414.466726,8414.466666,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7910,7911,-0.367353,3.812121,8414.476253,376181,8414.476306,8414.476199,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
7944,7945,-0.224494,3.60175,8414.469501,378606,8414.469534,8414.469468,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
